,season_no,episode no,episode_name,episode_airdate,episode_score,episode_votes
0,1,1,Chapter One: The Vanishing of Will Byers,15 Jul 2016,8.5,23751
1,1,2,Chapter Two: The Weirdo on Maple Street,15 Jul 2016,8.4,21125
2,1,3,"Chapter Three: Holly, Jolly",15 Jul 2016,8.8,20983
3,1,4,Chapter Four: The Body,15 Jul 2016,8.9,20586
4,1,5,Chapter Five: The Flea and the Acrobat,15 Jul 2016,8.7,19503
5,1,6,Chapter Six: The Monster,15 Jul 2016,8.8,19361
6,1,7,Chapter Seven: The Bathtub,15 Jul 2016,9.0,20194
7,1,8,Chapter Eight: The Upside Down,15 Jul 2016,9.3,23852
8,2,1,Chapter One: MADMAX,27 Oct 2017,8.2,18720
9,2,2,"Chapter Two: Trick or Treat, Freak",27 Oct 2017,8.3,17448
10,2,3,Chapter Three: The Pollywog,27 Oct 2017,8.5,17093
11,2,4,Chapter Four: Will the Wise,27 Oct 2017,8.6,16861
12,2,5,Chapter Five: Dig Dug,27 Oct 2017,8.8,17241
13,2,6,Chapter Six: The Spy,27 Oct 2017,9.1,18442
14,2,7,Chapter Seven: The Lost Sister,27 Oct 2017,6.1,26396
15,2,8,Chapter Eight: The Mind Flayer,27 Oct 2017,9.2,20075
16,2,9,Chapter Nine: The Gate,27 Oct 2017,9.3,22545
17,3,1,"Chapter One: Suzie, Do You Copy?",4 Jul 2019,7.8,19931
18,3,2,Chapter Two: The Mall Rats,4 Jul 2019,7.9,17993
19,3,3,Chapter Three: The Case of the Missing Lifeguard,4 Jul 2019,8.3,17424
20,3,4,Chapter Four: The Sauna Test,4 Jul 2019,8.9,18709
21,3,5,Chapter Five: The Flayed,4 Jul 2019,8.5,16992
22,3,6,Chapter Six: E Pluribus Unum,4 Jul 2019,8.6,17113
23,3,7,Chapter Seven: The Bite,4 Jul 2019,8.7,17682
24,3,8,Chapter Eight: The Battle of Starcourt,4 Jul 2019,9.2,27194
25,4,1,Chapter One: The Hellfire Club,27 May 2022,8.1,18126
26,4,2,Chapter Two: Vecna's Curse,27 May 2022,8.1,15584
27,4,3,Chapter Three: The Monster and the Superhero,27 May 2022,8.4,14908
28,4,4,Chapter Four: Dear Billy,27 May 2022,9.5,28073
29,4,5,Chapter Five: The Nina Project,27 May 2022,8.2,14006
30,4,6,Chapter Six: The Dive,27 May 2022,8.6,14206
31,4,7,Chapter Seven: The Massacre at Hawkins Lab,27 May 2022,9.6,30962
32,4,8,Chapter Eight: Papa,1 Jul 2022,8.7,14680
33,4,9,Chapter Nine: The Piggyback,1 Jul 2022,9.2,22001
34,5,1,Episode #5.1,,0,0
